Quigley M,Blair N
Quigley M,Davison K.
Blair N,Davison K.
Hong A,Sallis J.F
Hong A,King A.C
Hong A,Conway T.L
Hong A,Saelens B
Hong A,Cain K.L
Hong A,Fox E.H
Hong A,Frank L.D.
Sallis J.F,King A.C
Sallis J.F,Conway T.L
Sallis J.F,Saelens B
Sallis J.F,Cain K.L
Sallis J.F,Fox E.H
Sallis J.F,Frank L.D.
King A.C,Conway T.L
King A.C,Saelens B
King A.C,Cain K.L
King A.C,Fox E.H
King A.C,Frank L.D.
Conway T.L,Saelens B
Conway T.L,Cain K.L
Conway T.L,Fox E.H
Conway T.L,Frank L.D.
Saelens B,Cain K.L
Saelens B,Fox E.H
Saelens B,Frank L.D.
Cain K.L,Fox E.H
Cain K.L,Frank L.D.
Fox E.H,Frank L.D.
Lulewicz J,Coker A.B.
Levy O,Reiche B.S.
Stokes B,Williams D.
Jonsson K.R,Demireva N.
Onah M.N,Horton S.
Yang T.-C,Chen D.
Meng A,Clausen T
Meng A,Borg V.
Clausen T,Borg V.
Tina Yuan C.W,Hanrahan B.V
Tina Yuan C.W,Carroll J.M.
Hanrahan B.V,Carroll J.M.
Tosetti A.T,Cepeda J.F.L
Tosetti A.T,Ruiz O.M.
Cepeda J.F.L,Ruiz O.M.
Marozzi M,Bolzan M.
Guan T,Wang L
Guan T,Jin J
Guan T,Song X.
Wang L,Jin J
Wang L,Song X.
Jin J,Song X.
Martinez-Martinez O.A,Vazquez-Rodriguez A.-M
Martinez-Martinez O.A,Lombe M
Martinez-Martinez O.A,Gaitan-Rossi P.
Vazquez-Rodriguez A.-M,Lombe M
Vazquez-Rodriguez A.-M,Gaitan-Rossi P.
Lombe M,Gaitan-Rossi P.
Sato Y,Aida J
Sato Y,Tsuboya T
Sato Y,Shirai K
Sato Y,Koyama S
Sato Y,Matsuyama Y
Sato Y,Kondo K
Sato Y,Osaka K.
Aida J,Tsuboya T
Aida J,Shirai K
Aida J,Koyama S
Aida J,Matsuyama Y
Aida J,Kondo K
Aida J,Osaka K.
Tsuboya T,Shirai K
Tsuboya T,Koyama S
Tsuboya T,Matsuyama Y
Tsuboya T,Kondo K
Tsuboya T,Osaka K.
Shirai K,Koyama S
Shirai K,Matsuyama Y
Shirai K,Kondo K
Shirai K,Osaka K.
Koyama S,Matsuyama Y
Koyama S,Kondo K
Koyama S,Osaka K.
Matsuyama Y,Kondo K
Matsuyama Y,Osaka K.
Kondo K,Osaka K.
Carlson A,Isaacs A.M.
Shirodkar V,Beddewela E
Shirodkar V,Richter U.H.
Beddewela E,Richter U.H.
Robinovich J,Ossa X
Robinovich J,Baeza B
Robinovich J,Krumeich A
Robinovich J,van der Borne B.
Ossa X,Baeza B
Ossa X,Krumeich A
Ossa X,van der Borne B.
Baeza B,Krumeich A
Baeza B,van der Borne B.
Krumeich A,van der Borne B.
de Guzman M.R.T,Garcia A.S.
Perry R,Drachen A
Perry R,Kearney A
Perry R,Kriglstein S
Perry R,Nacke L.E
Perry R,Sifa R
Perry R,Wallner G
Perry R,Johnson D.
Drachen A,Kearney A
Drachen A,Kriglstein S
Drachen A,Nacke L.E
Drachen A,Sifa R
Drachen A,Wallner G
Drachen A,Johnson D.
Kearney A,Kriglstein S
Kearney A,Nacke L.E
Kearney A,Sifa R
Kearney A,Wallner G
Kearney A,Johnson D.
Kriglstein S,Nacke L.E
Kriglstein S,Sifa R
Kriglstein S,Wallner G
Kriglstein S,Johnson D.
Nacke L.E,Sifa R
Nacke L.E,Wallner G
Nacke L.E,Johnson D.
Sifa R,Wallner G
Sifa R,Johnson D.
Wallner G,Johnson D.
Park K.-G,Han S.
Fitzsimons A.L,Starosta G.
Valli L,Stefanski A
Valli L,Jacobson R.
Stefanski A,Jacobson R.
Vincens N,Emmelin M
Vincens N,Stafström M.
Emmelin M,Stafström M.
Smith C,Buckley N
Smith C,Bridges E
Smith C,Pavitt B
Smith C,Moss A.
Buckley N,Bridges E
Buckley N,Pavitt B
Buckley N,Moss A.
Bridges E,Pavitt B
Bridges E,Moss A.
Pavitt B,Moss A.
Lorensen M.R,Buch-Hansen G.
Birch J,Hart J.P.
Kawachi I,Subramanian S.V.
Rahbari L,Dierickx S
Rahbari L,Longman C
Rahbari L,Coene G.
Dierickx S,Longman C
Dierickx S,Coene G.
Longman C,Coene G.
Colombo E,Leonini L
Colombo E,Rebughini P.
Leonini L,Rebughini P.
Adjaye-Gbewonyo K,Kawachi I
Adjaye-Gbewonyo K,Subramanian S.V
Adjaye-Gbewonyo K,Avendano M.
Kawachi I,Subramanian S.V
Kawachi I,Avendano M.
Subramanian S.V,Avendano M.
Villalonga-Olives E,Kawachi I.
Carlton S,Vallance S.
Church E.M,Thambusamy R
Church E.M,Nemati H.
Thambusamy R,Nemati H.
Hayat T.Z,Lesser O
Hayat T.Z,Samuel-Azran T.
Lesser O,Samuel-Azran T.
Ohrnberger J,Fichera E
Ohrnberger J,Sutton M.
Fichera E,Sutton M.
Ortiz J,Chang S.-H
Ortiz J,Chih W.-H
Ortiz J,Wang C.-H.
Chang S.-H,Chih W.-H
Chang S.-H,Wang C.-H.
Chih W.-H,Wang C.-H.
Wise J,Driskell R.
Ding Q,Devine N.
Arezzo M.F,Giudici C.
Chen H.-T,Li X.
Miething A,Rostila M
Miething A,Rydgren J.
Rostila M,Rydgren J.
Mewes J,Giordano G.N.
Sibai A.M,Rizk A
Sibai A.M,Chemaitelly H.
Rizk A,Chemaitelly H.
Canfield-Davis K,Gardiner M.E.
Kaye L.K,Kowert R
Kaye L.K,Quinn S.
Kowert R,Quinn S.
Yuan C.W.T,Fussell S.R.
Keeves G.D,Westphal J.D
Keeves G.D,McDonald M.L.
Westphal J.D,McDonald M.L.
Fedor A.R,Toldi A.
Habibov N,Cheung A
Habibov N,Auchynnikava A.
Cheung A,Auchynnikava A.
Village A,Powell R
Village A,Pepper M.
Powell R,Pepper M.
Liou Y.-H,Daly A.J
Liou Y.-H,Canrinus E.T
Liou Y.-H,Forbes C.A
Liou Y.-H,Moolenaar N.M
Liou Y.-H,Cornelissen F
Liou Y.-H,Van Lare M
Liou Y.-H,Hsiao J.
Daly A.J,Canrinus E.T
Daly A.J,Forbes C.A
Daly A.J,Moolenaar N.M
Daly A.J,Cornelissen F
Daly A.J,Van Lare M
Daly A.J,Hsiao J.
Canrinus E.T,Forbes C.A
Canrinus E.T,Moolenaar N.M
Canrinus E.T,Cornelissen F
Canrinus E.T,Van Lare M
Canrinus E.T,Hsiao J.
Forbes C.A,Moolenaar N.M
Forbes C.A,Cornelissen F
Forbes C.A,Van Lare M
Forbes C.A,Hsiao J.
Moolenaar N.M,Cornelissen F
Moolenaar N.M,Van Lare M
Moolenaar N.M,Hsiao J.
Cornelissen F,Van Lare M
Cornelissen F,Hsiao J.
Van Lare M,Hsiao J.
Greffe X,Krebs A
Greffe X,Pflieger S.
Krebs A,Pflieger S.
Soriano Ayala E,Cala V.C.
Kim B,Kim Y.
Vandermeerschen H,Van Regenmortel T
Vandermeerschen H,Scheerder J.
Van Regenmortel T,Scheerder J.
Srivastav G,Gupta A.
Ko W.W,Liu G.
McGovern T,McLean T.
Wicks J.L,Morimoto S
Wicks J.L,Wicks R.H
Wicks J.L,Schulte S.R.
Morimoto S,Wicks R.H
Morimoto S,Schulte S.R.
Wicks R.H,Schulte S.R.
Su C.C,Chan N.K.
Phua J,Jin S.V
Phua J,Kim J.J.
Jin S.V,Kim J.J.
Huang L.V,Liu P.L.
Tortelli A,Sauzé D
Tortelli A,Skurnik N.
Sauzé D,Skurnik N.
McKean C,Law J
McKean C,Laing K
McKean C,Cockerill M
McKean C,Allon-Smith J
McKean C,McCartney E
McKean C,Forbes J.
Law J,Laing K
Law J,Cockerill M
Law J,Allon-Smith J
Law J,McCartney E
Law J,Forbes J.
